Timestamp,Face Confidence,Mouth Open,Eye Blink Left,Eye Blink Right,Eye Look Left,Eye Look Right,Head X,Head Y,Head Z,Detected Expression,Detected Movement
1767349136949,3,100,0,0,88744.05670166016,68995.91827392578,0,0,0,Tristesse,AUCUN
1767349136949,1,0,0,0,0,0,386.1442184448242,349.91037368774414,-30.02324104309082,Tristesse,EXPRESSION_TRISTESSE
1767349136949,1,100,0,0,84814.02587890625,64868.88122558594,0,0,0,Tristesse,AUCUN
1767349137018,1,0,0,0,0,0,386.1442184448242,349.91037368774414,-30.02324104309082,Tristesse,EXPRESSION_TRISTESSE
1767349137018,1,100,0,0,84814.02587890625,64868.88122558594,0,0,0,Tristesse,AUCUN
1767349137018,2,0,0,0,0,0,368.5496520996094,349.293909072876,-28.050286769866943,Tristesse,EXPRESSION_TRISTESSE
1767349137018,2,100,0,0,81179.19158935547,61015.32745361328,0,0,0,Tristesse,AUCUN
1767349137077,2,0,0,0,0,0,368.5496520996094,349.293909072876,-28.050286769866943,Tristesse,EXPRESSION_TRISTESSE
1767349137077,2,100,0,0,81179.19158935547,61015.32745361328,0,0,0,Tristesse,AUCUN
1767349137077,2,0,0,0,0,0,348.5422134399414,350.42089462280273,-28.90458345413208,Tristesse,EXPRESSION_TRISTESSE
1767349137077,2,100,0,0,77377.36511230469,57364.501953125,0,0,0,Tristesse,AUCUN
1767349137139,2,0,0,0,0,0,348.5422134399414,350.42089462280273,-28.90458345413208,Tristesse,EXPRESSION_TRISTESSE
1767349137139,2,100,0,0,77377.36511230469,57364.501953125,0,0,0,Tristesse,AUCUN
1767349137139,1,0,0,0,0,0,328.90369415283203,351.34443283081055,-29.17639970779419,Tristesse,EXPRESSION_TRISTESSE
1767349137139,1,100,0,0,73586.29608154297,53437.18719482422,0,0,0,Tristesse,AUCUN
1767349137196,1,0,0,0,0,0,328.90369415283203,351.34443283081055,-29.17639970779419,Tristesse,EXPRESSION_TRISTESSE
1767349137196,1,100,0,0,73586.29608154297,53437.18719482422,0,0,0,Tristesse,AUCUN
