Timestamp,Face Confidence,Mouth Open,Eye Blink Left,Eye Blink Right,Eye Look Left,Eye Look Right,Head X,Head Y,Head Z
1766516204989,0,0,0,0,0,0,0,0,0
1766516205383,0,0,0,0,0,0,0,0,0
1766516205754,0,0,0,0,0,0,0,0,0
1766516206111,0,0,0,0,0,0,0,0,0
1766516206474,0,0,0,0,0,0,0,0,0
1766516206843,0,0,0,0,0,0,0,0,0
1766516207215,0,0,0,0,0,0,0,0,0
1766516207613,0,0,0,0,0,0,0,0,0
1766516207991,0,0,0,0,0,0,0,0,0
1766516208347,0,0,0,0,0,0,0,0,0
1766516208697,0,0,0,0,0,0,0,0,0
1766516209083,0,0,0,0,0,0,0,0,0
1766516209467,0,0,0,0,0,0,0,0,0
1766516209832,0,0,0,0,0,0,0,0,0
1766516210188,0,0,0,0,0,0,0,0,0
1766516210574,0,0,0,0,0,0,0,0,0
