Timestamp,Face Confidence,Mouth Open,Eye Blink Left,Eye Blink Right,Eye Look Left,Eye Look Right,Head X,Head Y,Head Z,Detected Expression,Detected Movement
1767088051644,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088052139,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088052139,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088052139,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088052139,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088052661,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088052661,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088052662,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088052662,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088053133,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088053133,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088053134,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088053134,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088053571,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088053571,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088053571,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088053571,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088054070,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088054070,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088054070,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088054070,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088054514,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088054514,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088054514,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088054514,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088054942,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088054942,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088054942,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088054942,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088055368,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088055368,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088055368,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088055368,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
1767088055754,0,0,0,0,0,0,0,0,0,Dégoût,EXPRESSION_DÉGOÛT
1767088055754,0,0,0,0,0,0,0,0,0,Dégoût,AUCUN
