Timestamp,Pose Confidence,Head X,Head Y,Head Z,Head Confidence,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Left Shoulder Confidence,Right Shoulder X,Right Shoulder Y,Right Shoulder Z,Right Shoulder Confidence,Left Hip X,Left Hip Y,Left Hip Z,Left Hip Confidence,Right Hip X,Right Hip Y,Right Hip Z,Right Hip Confidence,Face Confidence,Mouth Open,Eye Blink Left,Eye Blink Right,Eye Look Left,Eye Look Right,Head Position X,Head Position Y,Head Position Z,Detected Expression,Left Hand Gesture,Left Hand Confidence,Left Hand Landmarks,Right Hand Gesture,Right Hand Confidence,Right Hand Landmarks
1767436454539,51,0.509482741355896,0.5156029462814331,-1.9864728450775146,0.9999421834945679,0.4541577696800232,0.4203305244445801,-1.9864728450775146,0.999868631362915,0.5843472480773926,0.40612152218818665,-1.4669569730758667,0.9998488426208496,0.460317999124527,0.6093382239341736,-1.7927806377410889,0.9999328851699829,0.7912111878395081,1.148398995399475,-0.2871602177619934,0.1678997427225113,2,100,0,0,70152.17590332031,51695.33157348633,329.8382568359375,287.7475833892822,-21.3403058052063,Bouche ouverte,,0,0,,0,0
1767436454543,51,0.509482741355896,0.5156029462814331,-1.9864728450775146,0.9999421834945679,0.4541577696800232,0.4203305244445801,-1.9864728450775146,0.999868631362915,0.5843472480773926,0.40612152218818665,-1.4669569730758667,0.9998488426208496,0.460317999124527,0.6093382239341736,-1.7927806377410889,0.9999328851699829,0.7912111878395081,1.148398995399475,-0.2871602177619934,0.1678997427225113,2,100,0,0,70152.17590332031,51695.33157348633,329.8382568359375,287.7475833892822,-21.3403058052063,Bouche ouverte,,0,0,,0,0
1767436454613,52,0.5039738416671753,0.5192797183990479,-2.2193691730499268,0.9999437928199768,0.45057806372642517,0.42147159576416016,-2.214820384979248,0.9998731017112732,0.5929058790206909,0.41198888421058655,-1.6807117462158203,0.999854326248169,0.4474809169769287,0.6128168702125549,-2.0084662437438965,0.9999347925186157,0.7863200902938843,1.1859190464019775,-0.6431175470352173,0.18015751242637634,1,100,0,0,70833.86993408203,52388.23699951172,330.6258010864258,290.91124534606934,-21.335580348968506,surprised,,0,0,,0,0
1767436454682,52,0.5047845840454102,0.5245315432548523,-2.0191071033477783,0.999937891960144,0.45160332322120667,0.42413365840911865,-2.019076347351074,0.9998627305030823,0.5952218770980835,0.41185176372528076,-1.5222529172897339,0.9998404383659363,0.4493545591831207,0.6162586212158203,-1.8173086643218994,0.9999313950538635,0.7927958965301514,1.1853368282318115,-0.546722948551178,0.18434423208236694,2,100,0,0,71368.95751953125,52922.38235473633,334.3703079223633,294.00197982788086,-20.367984771728516,surprised,,0,0,,0,0
1767436454748,53,0.5060349106788635,0.5289963483810425,-2.065871477127075,0.9999373555183411,0.45478034019470215,0.4270944595336914,-2.0654635429382324,0.9998618960380554,0.5956972241401672,0.41189149022102356,-1.5379043817520142,0.9998382925987244,0.4506353735923767,0.6173006892204285,-1.8603976964950562,0.9999308586120605,0.7925718426704407,1.1770747900009155,-0.5297397375106812,0.19322845339775085,1,100,0,0,71503.86810302734,52892.89474487305,334.4105529785156,294.4596290588379,-19.211158752441406,surprised,,0,0,,0,0
1767436454749,53,0.5068979859352112,0.5300164818763733,-2.1626014709472656,0.9999356269836426,0.45587271451950073,0.4286225736141205,-2.158132314682007,0.9998598694801331,0.5966987609863281,0.41193029284477234,-1.6183122396469116,0.9998366236686707,0.4516693949699402,0.6178647875785828,-1.9501841068267822,0.9999299049377441,0.7933787703514099,1.1762980222702026,-0.6259995698928833,0.20018979907035828,1,100,0,0,71858.26873779297,53436.71798706055,336.6542053222656,295.58215141296387,-18.98929715156555,Bouche ouverte,,0,0,,0,0
1767436454830,53,0.5068979859352112,0.5300164818763733,-2.1626014709472656,0.9999356269836426,0.45587271451950073,0.4286225736141205,-2.158132314682007,0.9998598694801331,0.5966987609863281,0.41193029284477234,-1.6183122396469116,0.9998366236686707,0.4516693949699402,0.6178647875785828,-1.9501841068267822,0.9999299049377441,0.7933787703514099,1.1762980222702026,-0.6259995698928833,0.20018979907035828,1,100,0,0,71858.26873779297,53436.71798706055,336.6542053222656,295.58215141296387,-18.98929715156555,surprised,,0,0,,0,0
1767436454895,54,0.5061964392662048,0.5299844145774841,-2.1201632022857666,0.9999309778213501,0.4542536735534668,0.4286167025566101,-2.116687297821045,0.9998504519462585,0.5967372059822083,0.4115534722805023,-1.5912667512893677,0.9998282194137573,0.4512833058834076,0.6179361343383789,-1.910127878189087,0.9999253153800964,0.7936168909072876,1.1792761087417603,-0.5819533467292786,0.20958217978477478,1,100,0,0,71940.20080566406,53258.20541381836,336.15062713623047,297.20744132995605,-18.400521278381348,surprised,,0,0,,0,0
1767436454973,54,0.5053865313529968,0.5288256406784058,-2.1211352348327637,0.9999303817749023,0.4535272717475891,0.42823076248168945,-2.1169233322143555,0.999849796295166,0.596496045589447,0.4104706346988678,-1.5910687446594238,0.9998277425765991,0.4503534734249115,0.617385983467102,-1.9113423824310303,0.9999250769615173,0.7925977110862732,1.1811010837554932,-0.5963326096534729,0.220007985830307,1,100,0,0,71917.64831542969,53184.120178222656,334.8355484008789,297.64291763305664,-18.69368314743042,surprised,,0,0,,0,0
1767436454974,55,0.5037277936935425,0.5282978415489197,-2.1437230110168457,0.9999292492866516,0.45177918672561646,0.4281541705131531,-2.133835792541504,0.9998480677604675,0.5965041518211365,0.4097728133201599,-1.6091663837432861,0.9998274445533752,0.44835931062698364,0.6172293424606323,-1.9303958415985107,0.9999240040779114,0.7926174998283386,1.1879127025604248,-0.6378811001777649,0.22815367579460144,1,100,0,0,71999.39727783203,53305.0422668457,335.99815368652344,298.87807846069336,-17.829737663269043,Bouche ouverte,,0,0,,0,0
