Timestamp,Face Confidence,Mouth Open,Eye Blink Left,Eye Blink Right,Eye Look Left,Eye Look Right,Head X,Head Y,Head Z,Detected Expression,Detected Movement
1767366662679,2,100,0,0,74155.12084960938,55476.55487060547,0,0,0,Tristesse,AUCUN
1767366662679,2,0,0,0,0,0,328.42578887939453,376.7138385772705,-14.247558116912842,Tristesse,EXPRESSION_TRISTESSE
1767366662679,2,100,0,0,74375.01525878906,55905.74264526367,0,0,0,Tristesse,AUCUN
1767366662802,2,0,0,0,0,0,328.42578887939453,376.7138385772705,-14.247558116912842,Tristesse,EXPRESSION_TRISTESSE
1767366662803,2,100,0,0,74375.01525878906,55905.74264526367,0,0,0,Tristesse,AUCUN
1767366662803,2,0,0,0,0,0,327.4131774902344,377.1675968170166,-14.654403924942017,Tristesse,EXPRESSION_TRISTESSE
1767366662803,2,100,0,0,74702.82745361328,56378.80325317383,0,0,0,Tristesse,AUCUN
1767366662893,2,0,0,0,0,0,327.4131774902344,377.1675968170166,-14.654403924942017,Tristesse,EXPRESSION_TRISTESSE
1767366662893,2,100,0,0,74702.82745361328,56378.80325317383,0,0,0,Tristesse,AUCUN
1767366662894,1,0,0,0,0,0,332.2518539428711,376.93018913269043,-14.662060737609863,Tristesse,EXPRESSION_TRISTESSE
1767366662894,1,100,0,0,75233.65783691406,56787.017822265625,0,0,0,Tristesse,AUCUN
1767366662993,1,0,0,0,0,0,332.2518539428711,376.93018913269043,-14.662060737609863,Tristesse,EXPRESSION_TRISTESSE
1767366662994,1,100,0,0,75233.65783691406,56787.017822265625,0,0,0,Tristesse,AUCUN
1767366662994,1,0,0,0,0,0,330.5888366699219,377.55194664001465,-14.826011657714844,Tristesse,EXPRESSION_TRISTESSE
1767366662994,1,100,0,0,75175.04119873047,56885.738372802734,0,0,0,Tristesse,AUCUN
1767366663088,1,0,0,0,0,0,330.5888366699219,377.55194664001465,-14.826011657714844,Tristesse,EXPRESSION_TRISTESSE
1767366663088,1,100,0,0,75175.04119873047,56885.738372802734,0,0,0,Tristesse,AUCUN
1767366663088,2,0,0,0,0,0,331.29608154296875,377.8570747375488,-15.25450348854065,Tristesse,EXPRESSION_TRISTESSE
1767366663088,2,100,0,0,75121.10137939453,56613.83056640625,0,0,0,Tristesse,AUCUN
1767366663188,2,0,0,0,0,0,331.29608154296875,377.8570747375488,-15.25450348854065,Tristesse,EXPRESSION_TRISTESSE
1767366663188,2,100,0,0,75121.10137939453,56613.83056640625,0,0,0,Tristesse,AUCUN
1767366663188,1,0,0,0,0,0,330.71651458740234,378.61498832702637,-14.449783563613892,Tristesse,EXPRESSION_TRISTESSE
1767366663188,1,100,0,0,74879.04357910156,56448.8639831543,0,0,0,Tristesse,AUCUN
1767366663282,1,0,0,0,0,0,330.71651458740234,378.61498832702637,-14.449783563613892,Tristesse,EXPRESSION_TRISTESSE
1767366663282,1,100,0,0,74879.04357910156,56448.8639831543,0,0,0,Tristesse,AUCUN
1767366663282,1,0,0,0,0,0,329.8203659057617,378.88020515441895,-14.371585845947266,Tristesse,EXPRESSION_TRISTESSE
1767366663282,1,100,0,0,74824.98168945312,56291.08428955078,0,0,0,Tristesse,AUCUN
1767366663373,1,0,0,0,0,0,329.8203659057617,378.88020515441895,-14.371585845947266,Tristesse,EXPRESSION_TRISTESSE
1767366663373,1,100,0,0,74824.98168945312,56291.08428955078,0,0,0,Tristesse,AUCUN
1767366663373,1,0,0,0,0,0,329.72373962402344,378.702335357666,-14.709665775299072,Tristesse,EXPRESSION_TRISTESSE
1767366663373,1,100,0,0,74679.81719970703,56210.941314697266,0,0,0,Tristesse,AUCUN
1767366663472,1,0,0,0,0,0,329.72373962402344,378.702335357666,-14.709665775299072,Tristesse,EXPRESSION_TRISTESSE
1767366663472,1,100,0,0,74679.81719970703,56210.941314697266,0,0,0,Tristesse,AUCUN
1767366663472,1,0,0,0,0,0,328.3556365966797,378.30634117126465,-14.247519969940186,Tristesse,EXPRESSION_TRISTESSE
1767366663472,1,100,0,0,74730.14068603516,56213.65737915039,0,0,0,Tristesse,AUCUN
1767366663569,1,0,0,0,0,0,328.3556365966797,378.30634117126465,-14.247519969940186,Tristesse,EXPRESSION_TRISTESSE
1767366663569,1,100,0,0,74730.14068603516,56213.65737915039,0,0,0,Tristesse,AUCUN
1767366663569,2,0,0,0,0,0,326.617431640625,378.9052677154541,-14.089956283569336,Tristesse,EXPRESSION_TRISTESSE
1767366663569,2,100,0,0,74761.36779785156,56114.601135253906,0,0,0,Tristesse,AUCUN
1767366663673,2,0,0,0,0,0,326.617431640625,378.9052677154541,-14.089956283569336,Tristesse,EXPRESSION_TRISTESSE
1767366663673,2,100,0,0,74761.36779785156,56114.601135253906,0,0,0,Tristesse,AUCUN
1767366663673,2,0,0,0,0,0,328.5980224609375,378.14117431640625,-15.133854150772095,Tristesse,EXPRESSION_TRISTESSE
1767366663673,2,100,0,0,74022.3388671875,55431.38122558594,0,0,0,Tristesse,AUCUN
