Timestamp,Face Confidence,Mouth Open,Eye Blink Left,Eye Blink Right,Eye Look Left,Eye Look Right,Head X,Head Y,Head Z
1766801994716,0,0,0,0,0,0,0,0,0
1766801994980,0,0,0,0,0,0,0,0,0
1766801995246,0,0,0,0,0,0,0,0,0
1766801995503,0,0,0,0,0,0,0,0,0
1766801995776,0,0,0,0,0,0,0,0,0
1766801996044,0,0,0,0,0,0,0,0,0
1766801996385,0,0,0,0,0,0,0,0,0
1766801996650,0,0,0,0,0,0,0,0,0
1766801996937,0,0,0,0,0,0,0,0,0
1766801997227,0,0,0,0,0,0,0,0,0
1766801997483,0,0,0,0,0,0,0,0,0
1766801997740,0,0,0,0,0,0,0,0,0
1766801997990,0,0,0,0,0,0,0,0,0
1766801998244,0,0,0,0,0,0,0,0,0
1766801998508,0,0,0,0,0,0,0,0,0
1766801998773,0,0,0,0,0,0,0,0,0
1766801999021,0,0,0,0,0,0,0,0,0
1766801999281,0,0,0,0,0,0,0,0,0
1766801999527,0,0,0,0,0,0,0,0,0
1766801999779,0,0,0,0,0,0,0,0,0
1766802000030,0,0,0,0,0,0,0,0,0
1766802000290,0,0,0,0,0,0,0,0,0
1766802000555,0,0,0,0,0,0,0,0,0
1766802000815,0,0,0,0,0,0,0,0,0
1766802001094,0,0,0,0,0,0,0,0,0
1766802001358,0,0,0,0,0,0,0,0,0
1766802001626,0,0,0,0,0,0,0,0,0
1766802001895,0,0,0,0,0,0,0,0,0
1766802002151,0,0,0,0,0,0,0,0,0
1766802002441,0,0,0,0,0,0,0,0,0
1766802002701,0,0,0,0,0,0,0,0,0
1766802002952,0,0,0,0,0,0,0,0,0
1766802003254,0,0,0,0,0,0,0,0,0
1766802003523,0,0,0,0,0,0,0,0,0
1766802003784,0,0,0,0,0,0,0,0,0
1766802004054,0,0,0,0,0,0,0,0,0
1766802004328,0,0,0,0,0,0,0,0,0
1766802004604,0,0,0,0,0,0,0,0,0
1766802004888,0,0,0,0,0,0,0,0,0
1766802005152,0,0,0,0,0,0,0,0,0
1766802005413,0,0,0,0,0,0,0,0,0
1766802005670,0,0,0,0,0,0,0,0,0
1766802005924,0,0,0,0,0,0,0,0,0
1766802006191,0,0,0,0,0,0,0,0,0
1766802006448,0,0,0,0,0,0,0,0,0
1766802006707,0,0,0,0,0,0,0,0,0
1766802006969,0,0,0,0,0,0,0,0,0
1766802007217,0,0,0,0,0,0,0,0,0
1766802007488,0,0,0,0,0,0,0,0,0
1766802007791,0,0,0,0,0,0,0,0,0
1766802008048,0,0,0,0,0,0,0,0,0
1766802008329,0,0,0,0,0,0,0,0,0
1766802008592,0,0,0,0,0,0,0,0,0
1766802008889,0,0,0,0,0,0,0,0,0
1766802014706,0,0,0,0,0,0,0,0,0
1766802014972,0,0,0,0,0,0,0,0,0
1766802015250,0,0,0,0,0,0,0,0,0
1766802015534,0,0,0,0,0,0,0,0,0
1766802015791,0,0,0,0,0,0,0,0,0
1766802016051,0,0,0,0,0,0,0,0,0
1766802016302,0,0,0,0,0,0,0,0,0
1766802016609,0,0,0,0,0,0,0,0,0
1766802016908,0,0,0,0,0,0,0,0,0
1766802017173,0,0,0,0,0,0,0,0,0
1766802017430,0,0,0,0,0,0,0,0,0
1766802017676,0,0,0,0,0,0,0,0,0
1766802017925,0,0,0,0,0,0,0,0,0
1766802018223,0,0,0,0,0,0,0,0,0
1766802018478,0,0,0,0,0,0,0,0,0
1766802018731,0,0,0,0,0,0,0,0,0
1766802018972,0,0,0,0,0,0,0,0,0
1766802019225,0,0,0,0,0,0,0,0,0
1766802019493,0,0,0,0,0,0,0,0,0
1766802019762,0,0,0,0,0,0,0,0,0
1766802020011,0,0,0,0,0,0,0,0,0
1766802020267,0,0,0,0,0,0,0,0,0
1766802020537,0,0,0,0,0,0,0,0,0
1766802020786,0,0,0,0,0,0,0,0,0
1766802021035,0,0,0,0,0,0,0,0,0
1766802021286,0,0,0,0,0,0,0,0,0
1766802021539,0,0,0,0,0,0,0,0,0
1766802021817,0,0,0,0,0,0,0,0,0
1766802022066,0,0,0,0,0,0,0,0,0
