Timestamp,Face Confidence,Mouth Open,Eye Blink Left,Eye Blink Right,Eye Look Left,Eye Look Right,Head X,Head Y,Head Z,Detected Expression,Detected Movement
1767354876220,1,100,0,0,63286.99493408203,49852.07748413086,0,0,0,Tristesse,AUCUN
1767354876220,2,0,0,0,0,0,296.97509765625,361.8350028991699,-5.26305615901947,Tristesse,EXPRESSION_TRISTESSE
1767354876220,2,100,0,0,63408.83255004883,49994.873046875,0,0,0,Tristesse,AUCUN
1767354876299,2,0,0,0,0,0,296.97509765625,361.8350028991699,-5.26305615901947,Tristesse,EXPRESSION_TRISTESSE
1767354876299,2,100,0,0,63408.83255004883,49994.873046875,0,0,0,Tristesse,AUCUN
1767354876299,1,0,0,0,0,0,299.20066833496094,360.7368850708008,-5.433657765388489,Tristesse,EXPRESSION_TRISTESSE
1767354876299,1,100,0,0,63620.758056640625,50231.64367675781,0,0,0,Tristesse,AUCUN
1767354876365,1,0,0,0,0,0,299.20066833496094,360.7368850708008,-5.433657765388489,Tristesse,EXPRESSION_TRISTESSE
1767354876365,1,100,0,0,63620.758056640625,50231.64367675781,0,0,0,Tristesse,AUCUN
1767354876365,1,0,0,0,0,0,301.0005760192871,360.53709983825684,-5.676485300064087,Tristesse,EXPRESSION_TRISTESSE
1767354876365,1,100,0,0,63738.311767578125,50354.68292236328,0,0,0,Tristesse,AUCUN
1767354876421,1,0,0,0,0,0,301.0005760192871,360.53709983825684,-5.676485300064087,Tristesse,EXPRESSION_TRISTESSE
1767354876421,1,100,0,0,63738.311767578125,50354.68292236328,0,0,0,Tristesse,AUCUN
1767354876422,1,0,0,0,0,0,301.04835510253906,360.3610324859619,-5.6677573919296265,Tristesse,EXPRESSION_TRISTESSE
1767354876422,1,100,0,0,63798.89678955078,50384.75799560547,0,0,0,Tristesse,AUCUN
1767354876490,1,0,0,0,0,0,301.04835510253906,360.3610324859619,-5.6677573919296265,Tristesse,EXPRESSION_TRISTESSE
1767354876490,1,100,0,0,63798.89678955078,50384.75799560547,0,0,0,Tristesse,AUCUN
1767354876490,1,0,0,0,0,0,300.78392028808594,359.09093856811523,-6.064581274986267,Tristesse,EXPRESSION_TRISTESSE
1767354876490,1,100,0,0,63777.49252319336,50471.90475463867,0,0,0,Tristesse,AUCUN
1767354876569,1,0,0,0,0,0,300.78392028808594,359.09093856811523,-6.064581274986267,Tristesse,EXPRESSION_TRISTESSE
1767354876569,1,100,0,0,63777.49252319336,50471.90475463867,0,0,0,Tristesse,AUCUN
1767354876569,1,0,0,0,0,0,307.31712341308594,356.91235542297363,-7.599565386772156,Tristesse,EXPRESSION_TRISTESSE
1767354876569,1,100,0,0,64319.14520263672,51001.23977661133,0,0,0,Tristesse,AUCUN
1767354876676,1,0,0,0,0,0,307.31712341308594,356.91235542297363,-7.599565386772156,Tristesse,EXPRESSION_TRISTESSE
1767354876676,1,100,0,0,64319.14520263672,51001.23977661133,0,0,0,Tristesse,AUCUN
1767354876676,3,0,0,0,0,0,317.7647399902344,351.4263153076172,-10.026812553405762,Tristesse,EXPRESSION_TRISTESSE
1767354876676,3,100,0,0,65297.66082763672,52222.381591796875,0,0,0,Tristesse,AUCUN
1767354876753,3,0,0,0,0,0,317.7647399902344,351.4263153076172,-10.026812553405762,Tristesse,EXPRESSION_TRISTESSE
1767354876753,3,100,0,0,65297.66082763672,52222.381591796875,0,0,0,Tristesse,AUCUN
1767354876753,2,0,0,0,0,0,324.039306640625,345.52571296691895,-11.603899002075195,Tristesse,EXPRESSION_TRISTESSE
1767354876754,2,100,0,0,65554.77905273438,52952.58712768555,0,0,0,Tristesse,AUCUN
1767354876942,2,0,0,0,0,0,324.039306640625,345.52571296691895,-11.603899002075195,Tristesse,EXPRESSION_TRISTESSE
1767354876942,2,100,0,0,65554.77905273438,52952.58712768555,0,0,0,Tristesse,AUCUN
1767354876942,2,0,0,0,0,0,326.5270233154297,344.1664409637451,-11.169490814208984,Tristesse,EXPRESSION_TRISTESSE
1767354876942,2,100,0,0,65641.93725585938,52962.589263916016,0,0,0,Tristesse,AUCUN
1767354877001,2,0,0,0,0,0,326.5270233154297,344.1664409637451,-11.169490814208984,Tristesse,EXPRESSION_TRISTESSE
1767354877001,2,100,0,0,65641.93725585938,52962.589263916016,0,0,0,Tristesse,AUCUN
1767354877002,2,0,0,0,0,0,320.96744537353516,340.89125633239746,-12.911379337310791,Tristesse,EXPRESSION_TRISTESSE
1767354877002,2,100,0,0,64906.18133544922,52199.47814941406,0,0,0,Tristesse,AUCUN
1767354877064,2,0,0,0,0,0,320.96744537353516,340.89125633239746,-12.911379337310791,Tristesse,EXPRESSION_TRISTESSE
1767354877064,2,100,0,0,64906.18133544922,52199.47814941406,0,0,0,Tristesse,AUCUN
1767354877064,3,0,0,0,0,0,321.4878463745117,340.23974418640137,-12.111167907714844,Tristesse,EXPRESSION_TRISTESSE
1767354877064,3,100,0,0,64599.72381591797,52090.797424316406,0,0,0,Tristesse,AUCUN
1767354877128,3,0,0,0,0,0,321.4878463745117,340.23974418640137,-12.111167907714844,Tristesse,EXPRESSION_TRISTESSE
1767354877128,3,100,0,0,64599.72381591797,52090.797424316406,0,0,0,Tristesse,AUCUN
1767354877128,2,0,0,0,0,0,320.8003616333008,339.6869945526123,-12.391519546508789,Tristesse,EXPRESSION_TRISTESSE
1767354877128,2,100,0,0,64513.031005859375,51911.460876464844,0,0,0,Tristesse,AUCUN
1767354877184,2,0,0,0,0,0,320.8003616333008,339.6869945526123,-12.391519546508789,Tristesse,EXPRESSION_TRISTESSE
1767354877184,2,100,0,0,64513.031005859375,51911.460876464844,0,0,0,Tristesse,AUCUN
1767354877184,2,0,0,0,0,0,318.23192596435547,338.9293384552002,-13.124563694000244,Tristesse,EXPRESSION_TRISTESSE
1767354877184,2,100,0,0,64374.27520751953,51737.178802490234,0,0,0,Tristesse,AUCUN
1767354877248,2,0,0,0,0,0,318.23192596435547,338.9293384552002,-13.124563694000244,Tristesse,EXPRESSION_TRISTESSE
1767354877248,2,100,0,0,64374.27520751953,51737.178802490234,0,0,0,Tristesse,AUCUN
1767354877248,2,0,0,0,0,0,317.49755859375,337.9640579223633,-13.3480703830719,Tristesse,EXPRESSION_TRISTESSE
1767354877248,2,100,0,0,64155.82275390625,51535.84671020508,0,0,0,Tristesse,AUCUN
1767354877313,2,0,0,0,0,0,317.49755859375,337.9640579223633,-13.3480703830719,Tristesse,EXPRESSION_TRISTESSE
1767354877313,2,100,0,0,64155.82275390625,51535.84671020508,0,0,0,Tristesse,AUCUN
1767354877313,2,0,0,0,0,0,319.3890380859375,336.824369430542,-12.793501615524292,Tristesse,EXPRESSION_TRISTESSE
1767354877313,2,100,0,0,64111.915588378906,51591.96090698242,0,0,0,Tristesse,AUCUN
